address,city,company,company_id,company_type,date,education,experience,job_description,job_name,job_url,people_num,salary
凉城,上海,上海和邑信息科技有限公司,CZ679687830,民营,2019/6/30 18:19,本科,3-5年,1.精通Springboot， Spring Cloud；2.熟练使用Hadoop；3.熟练使用logstash+elasticsearch+kibana微服务后台日志管理系统；4.熟练掌握Linux脚本。备注：大学毕业后工作经验不足三年请勿投递；每年跳槽者，不建议投递；谢谢！ ,java开发工程师A1,https://jobs.zhaopin.com/CZ679687830J00073175908.htm,招5人,16K-27K
花木,上海-浦东新区,上海丽兹行房地产经纪有限公司-SH-Y5,CZ418846210D00112983621,民营,2019/6/30 19:50,本科,1-3年,【薪资福利】1、薪资构成：无责底薪6000~7000元/月+提成（5%-68%）+精英留任奖+年终奖2、六险一金：养老、失业、医疗、工伤、生育、商业保险，公积金，均缴纳上海本地的3、各类奖项拿到手软：新人奖、品质及价值范、支持个人及团队奖、个人月度销冠奖、团队月度奖……4、海内外任你游：泰山、青岛、杭州、海南、云南、泰国、韩国、马尔代夫.......就等你来！5、重磅奖励：员工父母——北京、上海、青岛、杭州等城市旅游，员工也放假呦！ 【岗位职责】1、爱学习，有耐心：通过公司系统化培训熟悉房地产基本业务及相关法律、金融知识，不功利服务客户，耐心为客户在房产交易中遇到的各类问题；2、会聆听，会提问：详细了解客户的核心诉求，精准匹配合适的产品信息，具备和用户良好的沟通能力，有团队协作意识和服务意识；3、爱琢磨，善思考:热衷于用户心理研究，善于从用户数据中提炼用户需求，利用个性化、精细化运营手段，提升用户体验； 【岗位要求】1.21-35周岁，二本及以上学历；2.具有良好的亲和力、理解能力、逻辑协调和沟通能力；3.积极乐观开朗，为人诚实守信，工作积极主动，注重团队合作；4.愿意服务于高端客户，并且通过与高端客户面对面沟通有意愿提升自己的综合能力；5.愿意参加公益活动，具有爱心和感恩之心 【带薪培训】1、77堂课程;房产知识、营销知识、交易知识、法律法规、客户维护、目标管理、谈判技巧、心理学、经济学;2、成长陪伴：一对一的师徒辅导3、线上自主学习平台;丽兹V学院，专业团队制作，每周大咖分享4、储备及管理课堂： LEC菁英俱乐部、黄埔培训班、虎将训练营、北京大学光华管理学院MBA 【晋升发展】公开、公平、透明的晋升体制（1）营销专家：豪宅顾问——资深豪宅顾问——高级客户经理——资深客户经理（挑战高薪）（2）管理岗位晋升：店经理（年薪40万起）——店面总监（年薪百万起）——大区总监 【面试攻略】联系方式：Bella  ***********（微信号）简历投递：**********************面试地址-上海浦东新区浦电路577号平安财富大厦东楼107乘车路线：上海地铁2号线上海科技馆/4号线浦电路下车步行5-7分钟均可到达公司详情咨询公司官网：www.lizihang.com,【别墅销售】底薪7k/金融转行首选,https://jobs.zhaopin.com/418846213274088.htm,招20人,7K-12K
莘庄,上海-闵行区,上海迪夫格环境科技有限公司,CZ555058720,民营,2019/6/30 20:04,本科,3-5年,岗位职责：1.负责垃圾焚烧行业VOC有机废气或一体泵站相关领域内的市场信息搜集、市场开发及项目发现； 2.负责深入的市场分析，提供市场运作的方向性建议； 3.负责销售渠道建立，依据客户需求做好售前、售后服务；对项目和客户进行深度跟踪； 4.负责制定销售计划，适时调整销售方案和策略，达成销售目标； 5.编制项目销售预算和项目销售决算； 6.负责签约项目的推进、监督实施及项目回款。任职要求：1.有丰富的环保、电力、钢铁冶金、化工、VOC有机废气等行业销售工作经验，熟悉行业情况和特点； 2.环境工程、化工、国际贸易、营销等专业本科及以上学历； 3.三年以上相关行业从业经验；具有良好的市场拓展能力； 4.热爱销售工作，具有强烈的责任心和进取心； 5.个性成熟、善于交流，具有良好的书面写作能力、沟通协调及解决问题能力； 6.较强的公关能力、客户服务意识及团队领导、搭建能力； 7.身体健康，能适应出差。,销售经理,https://jobs.zhaopin.com/555058720250003.htm,招2人,10K-15K
外高桥,上海,上海中信国安科技工程有限公司,CZ121077450,国企,2019/6/30 20:12,本科,3-5年,岗位职责：1、熟悉掌握财务制度、会计制度和有关法规。2、按照会计制度，审核原始凭证，编制记账凭证。及时记账算账、按时结账、如期报账、定期对账。3、严格票据管理，保管和使用空白发票、收据要合规范。4、妥善保管会计凭证、会计账簿、财务会计报表和其他会计资料，负责会计档案的整理和移交。5、及时清理往来款项，协助资产管理部门定期做好财务清查和核对工作。6、对主管部门和审计、财务、税务等部门依照法律和有关规定进行的监督，要如实提供会计凭证、会计账簿、财务会计报表和有关资料。7、负责编制公司的会计报表，执行公司经营中的财务预决算，经营活动分析、成本核算、控制；进行公司纳税申报。8、熟悉国家及上海市有关税务政策及相关规定，熟练掌握和使用国家金税系统。任职要求：1、大学本科学历，财务相关专业者优先。2、三年及以上工作经验，有建筑施工行业的会计工作经验者优先。,会计,https://jobs.zhaopin.com/CZ121077450J00237358402.htm,招1人,6K-8K
花木,上海,锐闻士信息咨询(上海)有限公司,CZ354517210,外商独资,2019/6/30 19:56,本科,不限,"融数据开发工程师 – RIMES Shanghai位置：上海部门：金融数据  描述：RIMES于1996年成立于美国纽约。近20年以来，一直专注于为全球大型机构客户提供专业金融数据服务。本公司是数据管理服务领域的开拓者，依托互联网云技术，为客户量身定制、分发金融数据。RIMES从创立伊始至今，一直以为客户提供一流的金融数据并为客户提供支持服务为己任。目前，我们正在寻找适合的金融数据开发工程师，加入我们上海的金融数据团队。 作为一名RIMES金融数据开发工程师，您将主要负责金融数据库ETL流程的开发和维护，确保每日数据库的稳定运行，并持续发现和解决潜在的问题。您将着手于设计和建立金融数据的获取和采集，自定义分析，以及分发的程序，并配合客服部门和数据质检团队为其提供高质量的数据支持。  岗位职责：- 金融数据的处理与开发，完成相应功能设计和模块开发工作- 客户与各部门新需求分析，参与新数据源、产品的设计工作- 现有系统的维护和优化 岗位基本要求：本科及以上学历，计算机、工程科学、物理学、化学、数学等相关专业优先熟悉Perl/Python, SQL优秀的逻辑分析能力，善于发现和解决问题较好的解决方案设计能力能独立工作、认真勤奋以及注重细节可以高效灵活的完成多项任务较强的英语口头及书面沟通能力 在达到基本要求的基础上，我们将会优先考虑具有以下能力的申请者：较强的编程能力, 适应远程合作和多任务的工作环境了解AWS云技术, Java, NoSQL, Hadoop, Git, 大型分布式数据处理框架对金融市场或金融数据方面有兴趣和学习意愿  请发送您的中文和英文简历至邮箱 **************, 并且请标明邮件的主题为“Data Developer - Shanghai”。想了解更多关于RIMES的信息，请登录 www.rimes.com。  ",金融数据开发工程师（Data developer）,https://jobs.zhaopin.com/CC354517216J00133497902.htm,招1人,10K-15K
江川路,上海-闵行区,乐世买(上海)实业发展有限公司,CZ583260620,民营,2019/6/30 19:59,本科,3-5年,"岗位职责：人事行政工作：1.人员招聘 2.合同管理 3.绩效考核。管理工作：1.工厂监管 2.仓库管理 3.采购管理 4.供应链管理。其他工作：1.文件草拟，2.政府接洽等任职要求：1．大专及以上学历，工作满三年以上；2．熟练使用WORD，PPT等办公软件，并熟练操作EXCEL数据计算统计功能；3．有良好的沟通协调能力，有解决突发事件的应变能力；4．开拓进取、吃苦耐劳、认真负责，有较强的工作责任心及团队合作精神；5．有一定的财务知识者优先考虑；英语听说读写良好者优先福利待遇:* 职位工资:试用期2个月，试用期8-10K，表现优异者转正后加薪+提成。* 只要你真心付出，薪资不是问题。* 员工福利包括年底红包，以及带底薪的假期！* 新员工公司提供带薪岗前培训,工作时间:周一至周五 上班时间:早上9点至下午18点, 大小礼拜。* 满1年以上享受年休假；结婚礼金；生育礼金；法定节假日慰问金；住院慰问金、年度体检、年度旅游拓展等等。晋升渠道：试用期——>总经理助理——>运营总监——>公司副总经理公司地址：宝山区蕰川路516号泰德科技园A座522工厂地址：闵行区天宁路51号5号楼3楼聚香楼",总经理助理/厂长助理,https://jobs.zhaopin.com/CC583260621J00059873207.htm,招2人,8K-10K
,上海-虹口区,上海丽兹行房地产经纪有限公司SH-Y9,CZ418846210D00113142861,民营,2019/6/30 19:27,本科,1-3年,【岗位要求】1.21-35周岁，本科及以上学历，较强的学习能力；2.具有良好的亲和力、沟通表达能力；3.理解能力、逻辑协调佳，乐观开朗，为人诚恳，乐于分享；4.工作积极主动，注重团队合作，愿意服务高端客户，想积累人脉、拓展视野，更想体现自己的价值，实现梦想 ；5.愿意参加公益活动，具有爱心和感恩之心。 【岗位职责】1.新员工入职，熟悉了解产品信息（一二手高端楼盘项目+金融产品等）；2.详细了解客户的核心诉求，了解公司产品，帮助客户进行房源的高效匹配，精准匹配合适的产品信息；3.带客户实地看房，进行商务磋商，谈判，促成豪宅成交，为客户提供最新豪宅市场分析报告，帮助客户做资产配置；4.与客户面对面沟通，通过Ipad、豪宅APP、楼盘字典等营销工具前期介绍产品信息，带客户看房、讲盘，通过市场数据分析，进行磋商、谈判，促成产品成交等； 【薪资收入】（1）显性收入：无责底薪6000~7000元/月+高提成5-68%+菁英留任奖+年度业绩累加奖（2）隐性收入：高端人脉积累、视野拓展、广阔晋升、管理经验、轻松简单的工作氛围、全面专业市场知识带薪培训  【其他福利】1.六险一金：养老、失业、医疗、工商、生育、商业保险；住房公积金；2.拨打电话免费：企业内部通话免费；3.多重奖励：新人奖、品质奖、价值范、支持个人及团队、职能嘉奖、破纪录奖；4.年度国内外旅游：泰山、青岛、厦门、海南、云南、泰国、韩国都曾留下我们的身影； 【晋升机制】公开 公平 透明的竞聘机制1.营销专家：豪宅顾问→资深豪宅顾问→高级客户经理→资深客户经理2.管理岗位晋升：店经理→店面总监→大区总监 【培训体系】1.师徒制：一对一的师徒辅导，除了工作，还有生活，有句话叫“有事找师傅”2.内训：（1）针对豪宅顾问——房产知识、营销知识、交易知识、法律法规、客户维护、目标管理、 谈判技巧、金融知识、心理学；（2）针对销售精英——百万尖子班；（3）针对管理岗位——黄埔培训班、虎将训练营3.外训：（1）中层管理者—PMBA课程、EMBA课程；（2）高层管理者----北大、清华总裁培训班，中欧课程4.行业交流：我们会不定期地请行业中的佼佼者进行交流学习,月入过万 销售代表/销售经理/客户代表,https://jobs.zhaopin.com/CC418846213J00054462113.htm,招20人,8K-10K
唐镇,上海,上海安赐环保科技股份有限公司,CZ193400010,民营,2019/6/30 18:24,本科,3-5年,岗位职责：1、负责设备管道布置图设计和工艺管道设计； 2、负责设备管口方位的确定；3、根据压力管道设计基础资料、数据和软件，进行压力管道设计计算，制定初步的管道等级表；4、完善三维设计软件中的管道元件库； 5、在项目执行阶段，和其他相关单位进行技术沟通交流，协调工程进度； 6、负责管道建设项目进度计划，监督施工进度，审定施工的相关费用； 7、按工程设计规定开展设计文件的编制工作，负责管道设计文件的整理和归档工作； 8、完成领导分配的其它工作。 任职资格要求： 1、化学工程与工艺或过程装备与控制专业本科学历； 2、环境工程公司、化工设计公司项目设计工作经验3年以上，熟悉化工装置工艺流程及平面布置；3、熟练掌握PDSOFT&PDMS绘图设计软件及办公自动化软件，有PDMS数据库管理经验更佳；4、具有较强的不断学习新技术的能力； 5、掌握工作领域的法律、法规、规范、标准； 6、能独立完成工程的方案与详细设计； 7、具备吃苦耐劳，能适应公司项目出差的需求。 8、具有较强的团队意识和协作意识；,管道设计工程师（化工环保）,https://jobs.zhaopin.com/193400019250800.htm,招1人,9K-15K
四川北路,上海,杭州亚学教育科技有限公司,CZ317455530,民营,2019/6/30 16:39,本科,不限,"ob Description/职位介绍   Understanding the internal corporate partner program processes of the Asia Institute.了解项目的内部管理和操作流程；   Collecting contact information for new corporate partners and confirming enough corporate partners to provide strong support for XPL programs.收集并整理潜在合作伙伴的联系信息，确保满足项目需要；   Assist manager with company visit engagement in support of short-term faculty-led education programs with a goal of 250 secured corporate speakers, including factory tours, throughout Asia and 60 internship placements in Asia.协助项目经理安排公司拜访，支持亚洲学院短期学习项目；   Work with our Program Management team to complete program materials for university partners, including Program Guides and timeline management, as well as on-time fulfillment of corporate and alumni contact requests.与项目管理团队一起为学校合作伙伴制定项目课程方案，包括制定项目指南手册及日程管理，并积极响应合作公司或校友的需求；   Managing the corporate partner database, including knowing well, logging date into the software, updating in time, etc. 管理企业合作伙伴数据库，将有关数据录入系统并及时更新；    Maintaining and expanding corporate partners. 维护并发展新的合作伙伴； Job Requirements / 职位要求   Good ability in reading, writing and communication in English.有良好的英语书写和沟通能力；   Quick learner, careful, hardworking and a strong sense of responsibility.学习能力强，工作认真仔细，有强烈责任感优先；   Strong ability to data collecting and analysis.较强的数据收集及分析能力   Proficiency with Word, Excel, PPT, PDF etc.熟练使用Word, Excel, PPT, PDF 等办公软件；   Bachelor degree or above.在读本科或以上学历；   Senior student preferred and provide opportunity to be a full-time member.大四学生可提供实习转正机会；   Open to any major 专业不限 Application Deadline / 申请截止日期: Jul 31st, 2019 / 2019年7月31日Position Location / 工作地点: Hongkou District, Shanghai / 上海市虹口区Send Resume to/请将简历发至: issa.wang@asiainstitute.cnContact/联系人: Issa Wang/汪小姐",企业合作伙伴经理助理,https://jobs.zhaopin.com/CC317455536J00129242102.htm,招1人,6K-8K
花桥,上海-嘉定区,上海浪旗实业发展有限公司,CZ307305130,民营,2019/6/30 19:23,本科,不限,职位描述：1.开展外贸销售业务，拓展海外市场，开发，维护国外客户；2.参加公司组织的各类展会及面对面与客户洽谈；3.及时给客户报价和按要求打样；4.签单后协调跟单员处理订单的后续跟进；6.售后服务。7.适应短暂出国出差。8.对公司的产品进行定位，带领业务团队发展业务。任职资格：外包业务员1.本科以上学历，英语四级以上，英语、国际贸易及理工科专业；2.致力于外贸行业的长期发展，有橡胶机械类行业工作经验者优先考虑；3.熟悉外贸和订单管理流程，具备扎实的行业经验，应届生亦可考虑；4.优秀的书面及口语表达能力，较强的商业意识及谈判技巧，开拓客户能力强；5.具有较强的进取心及团队合作精神，工作认真，责任心强，抗压能力强。6.有外贸团队管理经历。,外贸业务员（欢迎应届生）,https://jobs.zhaopin.com/CC307305132J00097762702.htm,招4人,4K-6K
